Frame,Label,Area,XM,YM,Major,Minor,Angle
124,1N4148WS_300V_2.avi:8.26 s,0.034,1.434,1.095,0.267,0.163,87.391
125,1N4148WS_300V_2.avi:8.33 s,0.033,1.422,1.092,0.264,0.161,86.851
126,1N4148WS_300V_2.avi:8.40 s,0.034,1.412,1.088,0.272,0.160,86.199
127,1N4148WS_300V_2.avi:8.46 s,0.034,1.400,1.086,0.268,0.162,87.417
128,1N4148WS_300V_2.avi:8.53 s,0.034,1.387,1.088,0.268,0.164,87.976
129,1N4148WS_300V_2.avi:8.60 s,0.033,1.376,1.089,0.268,0.158,89.194
130,1N4148WS_300V_2.avi:8.66 s,0.033,1.363,1.093,0.268,0.158,89.371
131,1N4148WS_300V_2.avi:8.73 s,0.034,1.352,1.099,0.266,0.164,88.750
132,1N4148WS_300V_2.avi:8.80 s,0.034,1.340,1.103,0.264,0.164,89.268
133,1N4148WS_300V_2.avi:8.86 s,0.033,1.329,1.109,0.267,0.158,89.111
134,1N4148WS_300V_2.avi:8.93 s,0.034,1.319,1.116,0.269,0.163,87.381
135,1N4148WS_300V_2.avi:9.00 s,0.034,1.308,1.126,0.268,0.159,87.797
136,1N4148WS_300V_2.avi:9.06 s,0.034,1.298,1.132,0.268,0.162,87.993
137,1N4148WS_300V_2.avi:9.13 s,0.034,1.288,1.142,0.270,0.159,88.086
138,1N4148WS_300V_2.avi:9.20 s,0.034,1.279,1.153,0.264,0.164,87.729
139,1N4148WS_300V_2.avi:9.26 s,0.034,1.270,1.163,0.268,0.161,86.970
140,1N4148WS_300V_2.avi:9.33 s,0.034,1.260,1.178,0.269,0.160,87.205
141,1N4148WS_300V_2.avi:9.40 s,0.034,1.251,1.190,0.266,0.162,86.855
142,1N4148WS_300V_2.avi:9.46 s,0.034,1.241,1.203,0.272,0.160,86.381
143,1N4148WS_300V_2.avi:9.53 s,0.034,1.233,1.215,0.270,0.162,86.001
144,1N4148WS_300V_2.avi:9.60 s,0.034,1.224,1.225,0.270,0.159,84.975
145,1N4148WS_300V_2.avi:9.66 s,0.033,1.218,1.234,0.265,0.160,83.496
146,1N4148WS_300V_2.avi:9.73 s,0.034,1.211,1.240,0.269,0.161,82.751
147,1N4148WS_300V_2.avi:9.80 s,0.034,1.206,1.244,0.267,0.161,82.766
148,1N4148WS_300V_2.avi:9.86 s,0.034,1.202,1.244,0.269,0.161,82.412
149,1N4148WS_300V_2.avi:9.93 s,0.034,1.199,1.243,0.267,0.160,81.801
150,1N4148WS_300V_2.avi:10.00 s,0.034,1.197,1.239,0.268,0.161,81.871
151,1N4148WS_300V_2.avi:10.06 s,0.034,1.197,1.233,0.269,0.161,81.688
152,1N4148WS_300V_2.avi:10.13 s,0.034,1.197,1.225,0.269,0.161,82.415
153,1N4148WS_300V_2.avi:10.20 s,0.034,1.198,1.217,0.269,0.160,83.058
154,1N4148WS_300V_2.avi:10.26 s,0.033,1.200,1.208,0.267,0.160,83.268
155,1N4148WS_300V_2.avi:10.33 s,0.034,1.201,1.199,0.268,0.162,84.710
156,1N4148WS_300V_2.avi:10.40 s,0.034,1.203,1.190,0.267,0.161,83.778
157,1N4148WS_300V_2.avi:10.46 s,0.034,1.206,1.185,0.269,0.161,84.421
158,1N4148WS_300V_2.avi:10.53 s,0.034,1.209,1.182,0.268,0.161,83.337
159,1N4148WS_300V_2.avi:10.60 s,0.034,1.212,1.180,0.267,0.161,82.939
160,1N4148WS_300V_2.avi:10.66 s,0.034,1.217,1.182,0.267,0.161,82.384
161,1N4148WS_300V_2.avi:10.73 s,0.034,1.221,1.184,0.269,0.161,83.557
162,1N4148WS_300V_2.avi:10.80 s,0.034,1.227,1.188,0.269,0.160,84.313
163,1N4148WS_300V_2.avi:10.86 s,0.034,1.233,1.194,0.269,0.161,85.353
164,1N4148WS_300V_2.avi:10.93 s,0.034,1.237,1.197,0.269,0.162,86.658
165,1N4148WS_300V_2.avi:11.00 s,0.034,1.243,1.202,0.268,0.161,86.740
166,1N4148WS_300V_2.avi:11.06 s,0.034,1.249,1.204,0.267,0.162,85.149
167,1N4148WS_300V_2.avi:11.13 s,0.034,1.255,1.208,0.265,0.163,85.165
168,1N4148WS_300V_2.avi:11.20 s,0.034,1.261,1.210,0.269,0.160,84.793
169,1N4148WS_300V_2.avi:11.26 s,0.034,1.269,1.209,0.270,0.161,84.000
170,1N4148WS_300V_2.avi:11.33 s,0.034,1.276,1.209,0.268,0.161,83.993
171,1N4148WS_300V_2.avi:11.40 s,0.034,1.283,1.204,0.267,0.162,85.480
172,1N4148WS_300V_2.avi:11.46 s,0.034,1.290,1.200,0.264,0.162,85.887
173,1N4148WS_300V_2.avi:11.53 s,0.034,1.296,1.195,0.271,0.158,87.582
174,1N4148WS_300V_2.avi:11.60 s,0.034,1.300,1.185,0.267,0.162,88.826
175,1N4148WS_300V_2.avi:11.66 s,0.034,1.303,1.178,0.272,0.160,89.748
176,1N4148WS_300V_2.avi:11.73 s,0.034,1.306,1.169,0.265,0.164,90.246
177,1N4148WS_300V_2.avi:11.80 s,0.034,1.306,1.161,0.265,0.164,89.900
178,1N4148WS_300V_2.avi:11.86 s,0.034,1.306,1.152,0.263,0.165,89.963
179,1N4148WS_300V_2.avi:11.93 s,0.034,1.303,1.143,0.269,0.161,90.348
180,1N4148WS_300V_2.avi:12.00 s,0.034,1.301,1.137,0.269,0.160,90.535
181,1N4148WS_300V_2.avi:12.06 s,0.034,1.297,1.129,0.269,0.160,90.637
182,1N4148WS_300V_2.avi:12.13 s,0.034,1.293,1.122,0.269,0.162,91.078
